date,time_ny,nav,annual_budget_pct,underlying,has_legs,min_dte,needs_roll,suggested_expiry,suggested_long_strike,suggested_short_strike,estimated_debit,suggested_limit_debit,suggested_spreads,max_trade_budget_usd,error
2026-01-12,10:42:31,1051902.29,0.0125,SPY,0,,0,2026-02-13,675.0,645.0,2.935,3.08,5,2191.46,
2026-01-12,12:16:33,1051910.55,0.0125,SPY,1,32,0,2026-02-13,675.0,650.0,2.48,2.6,5,2191.48,
